ticker,type,notes,Investing.com website,Platform,Code,"Name",Currency,Target Price,Commodity Type
VUAA.MI,ETF,,,Revolut,VUAA.MI,"Vanguard S&P 500 UCITS ETF USD Accumulation",Euro,,
XMEU.DE,ETF,,,Revolut,XMEU.DE,"Xtrackers MSCI Europe UCITS ETF 1C",Euro,,
IQQY.DE,ETF,,,Revolut,IQQY.DE,"iShares Core MSCI Europe UCITS ETF EUR",Euro,,
XAD5.MI,commodity,,,Moneybase,XAD5.MI,"Xtrackers Physical Gold ETC (EUR)",Euro,,Gold
XAG,commodity,,,Revolut,XAG,"Silver Revolut",,,Silver
XAU,commodity,,,Revolut,XAU,"Gold Revolut",,,Gold
0B2.F,stock,,,Revolut,0B2.F,"Bawag",Euro,107.02,
SCR.PA,stock,,,Revolut,SCR.PA,"SCOR SE",Euro,3.36,
AKE.PA,stock,,,Revolut,AKE.PA,"Arkema",Euro,62.11,
DWS.DE,stock,,,Revolut,DWS.DE,"DWS Group GmbH & Co. KGaA ",Euro,65.94,
MSFT,stock,,,Revolut,MSFT,"MICROSOFT",USD,462.66,
DTE.DE,stock,,,Revolut,DTE.DE,"Deutsche Telekom AG",Euro,39.02,
XYZ,stock,,,Revolut,XYZ,"Block Inc",USD,71.62,
AAPL,stock,,,Revolut,AAPL,"Apple",USD,14.87,
NVDA,stock,,,Revolut,NVDA,"NVIDIA",USD,218.7,
AMD,stock,,,Revolut,AMD,"AMD",USD,225.27,
PRY.MI,stock,,,Revolut,PRY.MI,"Prysmian",Euro,99,
KO,stock,,,Revolut,KO,"Coca-Cola Co",USD,72.46,
WDH1.HA,stock,,,Revolut,WDH1.HA,"Dermant AS",Euro,33.7,
EVK.DE,stock,,,Revolut,EVK.DE,"Evonik",Euro,8.35,
BA,stock,,,Revolut,BA,"The Boeing Company",USD,161.69,
TEP.PA,stock,,,Revolut,TEP.PA,"TEP",Euro,79.69,
CAP.PA,stock,,,Revolut,CAP.PA,"CAP",Euro,156.16,
DSY.PA,stock,,,Revolut,DSY.PA,"DSY",Euro,25.75,
SAN.PA,stock,,,Revolut,SAN.PA,"SAN",Euro,115.9,
MC.PA,stock,,,Revolut,MC.PA,"MC",Euro,616.05,
SGO.PA,stock,,,Revolut,SGO.PA,"SGO",Euro,90.92,
RI.PA,stock,,,Revolut,RI.PA,"RI",Euro,77.45,
MUV2.DE,stock,,,Revolut,MUV2.DE,"CTS Eventim AG",Euro,78.74,
FME.DE,stock,,,Revolut,FME.DE,"Fresenius Medical Care",Euro,54.22,
FRA.DE,stock,,,Revolut,FRA.DE,"Fuchs Petrolub",Euro,46.61,
HEN3.DE,stock,,,Revolut,HEN3.DE,"Henkel VZO",Euro,84.24,
MRK.DE,stock,,,Revolut,MRK.DE,"Merck",Euro,138.46,
HNR1.DE,stock,,,Revolut,HNR1.DE,"Hannover Rueckversicherung SE",Euro,332.48,
SAP.DE,stock,,,Revolut,SAP.DE,"SAP",Euro,183.99,
SHL.DE,stock,,,Revolut,SHL.DE,"Siemens Healthineers",Euro,43.58,
REY.MI,stock,,,Revolut,REY.MI,"Reply",Euro,125.55,
AMP.MI,stock,,,Revolut,AMP.MI,"Amplifon",Euro,13.81,
PIRC.MI,stock,,,Revolut,PIRC.MI,"Pirelli & C",Euro,8.48,
NEXI.MI,stock,,,Revolut,NEXI.MI,"Nexi",Euro,4.05,
BRE.MI,stock,,,Revolut,BRE.MI,"Freni Brembo",Euro,10.37,
IP.MI,stock,,,Revolut,IP.MI,"Interpump",Euro,42.02,
DLG.MI,stock,,,Revolut,DLG.MI,"De Longhi",Euro,37.54,
MEL.MC,stock,,,Revolut,MEL.MC,"Melia Hotels",Euro,13.47,
AMS.MC,stock,,,Revolut,AMS.MC,"Amadeus",Euro,65.74,
MAP.MC,stock,,,Revolut,MAP.MC,"Mapfre",Euro,4.95,
PUIG.MC,stock,,,Revolut,PUIG.MC,"Puig Brands",Euro,21.91,
REP.MC,stock,,,Revolut,REP.MC,"Repsol",Euro,29.61,
TEF.MC,stock,,,Revolut,TEF.MC,"Telefonica",Euro,4.79,
FDR.MC,stock,,,Revolut,FDR.MC,"Fluidra",Euro,24.71,
HYQ.DE,stock,,,Revolut,YES,"Hypoport SE",Euro,117.04,
1ZAL.MI,stock,,,Revolut,YES,"Zalando SE",Euro,34.82,
VTY.L,stock,,,Moneybase,VTY,"Vistry Group",GBP,5.81,
MONY.L,stock,,,Moneybase,MONY,"Moneysupermarket",GBP,2.39,
KNOS.L,stock,,,Moneybase,KNOS,"Kainos Group",GBP,10.37,
ITRK.L,stock,,,Moneybase,ITRK,"Intertek",GBP,51.36,
BPCR.L,stock,,,Moneybase,BPCR,"BioPharma Credit",GBP,0.91,
HBR.L,stock,,,Moneybase,HBR,"Harbour Energy",GBP,3.68,
SSPG.L,stock,,,Moneybase,SSPG,"SSP Group",GBP,2.32,
SGE.L,stock,,,Moneybase,SGE,"Sage",GBP,10.63,
QLT.L,stock,,,Moneybase,QLT,"Quilter",GBP,2.22,
III.L,stock,,,Moneybase,III,"3I Group",GBP,31.74,
EMG.L,stock,,,Moneybase,EMG,"Man Group",GBP,3.18,
FISV,stock,,,Revolut,FISV,"Fiserv",USD,93.03,
ADBE,stock,,,Revolut,ADBE,"Adobe",USD,387.28,
WDAY,stock,,,Revolut,WDAY,"Workday",USD,280.59,
CRM,stock,,,Revolut,CRM,"Salesforce Inc",USD,194,
INTU,stock,,,Revolut,INTU,"Intuit",USD,619.95,
NKE,stock,,,Revolut,NKE,"Nike",USD,63.3,
QCOM,stock,,,Revolut,QCOM,"Qualcomm",USD,174.47,
ORCL,stock,,,Revolut,ORCL,"Oracle",USD,175.86,
UPS,stock,,,Revolut,UPS,"United Parcel Service",USD,118.53,
BKNG,stock,,,Revolut,BKNG,"Booking",USD,5066,
